Study Num,Authors,SemanticScholarID,Original Ref,Year,Journal (O),Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Replicated,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,0_YearsLater,1_YearsLater,2_YearsLater,3_YearsLater,4_YearsLater,5_YearsLater,6_YearsLater,7_YearsLater,8_YearsLater,9_YearsLater,10_YearsLater,11_YearsLater
1,"Ackerman et al. (2010), Science (36)",e55bf683b76edcedcdca6526eec05776bd0b704e,-36,2010,Science,"F(1,52)",4,54,54,0,0,1,0,1,0,t(257),2,259,259,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,2,0,0,1,1,1,1,1,t(597),2.0,599.0,599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,t(597),2,599,599,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0.54,0.31,0.51,0,0,1,0,1,0,1,0,13,16,33,51,45,51,43,23,40,44,21,15
2,"Aviezer et al. (2012), Science (37)",5132b0463e8d2d7c6e2d775b839bab6282495bae,-37,2012,Science,t(14),13,15,15,1,1,1,0,0,0,t(13),5,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t(13),5,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,446.0,57.0,1.0,0,0,1,1,1,1,1,1,0,21,39,47,49,52,57,85,84,44,0,0
3,"Balafoutas and Sutter (2012), Science (38)",8bb707e897b03cdb434bca80967c918881c347d9,-38,2012,Science,Chi2(1),6,72,72,0,0,0,0,1,0,Chi2(1),5,243,243,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,2,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chi2(1),5,243,243,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,2,4.2,4.27,0.85,0,0,1,1,1,1,1,1,16,16,8,20,29,26,32,30,31,14,0,0
4,"Derex et al. (2013), Nature (39)",4855181078d48b47b0de46966614f91e01d8f931,-39,2013,Nature,Chi2(1),16,51,366,1,0,1,0,0,0,Chi2(1),9,65,482,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chi2(1),9,65,482,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,3144.0,3701.0,0.99,0,0,1,1,1,1,1,1,3,18,33,30,22,20,28,37,16,0,0,0
5,"Duncan et al. (2012), Science (40)",9f802da082ee6a19fb512c7716514ae83d6e8d34,-40,2012,Science,t(14),3,15,15,1,0,1,0,1,0,t(35),1,36,36,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,t(91),5.0,92.0,92.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,t(91),5,92,92,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,2682.0,2513.0,1.0,0,0,1,1,1,1,1,1,1,9,12,6,15,8,8,15,16,15,0,0
6,"Gervais and Norenzayan (2012), Science (41)",65d9bca2ac92c1ae4814b82bc2213286b2b9f356,-41,2012,Science,t(55),2,57,57,0,0,1,0,1,0,t(222),-1,224,224,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,t(529),-1.0,531.0,531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,t(529),-1,531,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.06,0.03,0.21,0,1,1,0,0,0,0,0,7,23,37,45,49,49,31,71,41,20,0,0
7,"Gneezy et al. (2014), Science (42)",2fb3eff0c62565afde3c1a25abe3cb66ee8fee4f,-42,2014,Science,z,3,178,178,0,0,0,0,1,0,z,4,407,407,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,2,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,4,407,407,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,2,231.9,485.27,0.91,0,0,1,1,1,1,1,1,2,14,20,23,24,43,40,25,0,0,0,0
8,"Hauser et al. (2014), Nature (43)",2b9fac5ee16a79f30c61f08e0bdb01cf2effd558,-43,2014,Nature,t(38),9,40,200,1,1,1,0,0,0,t(20),7,22,110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t(20),7,22,110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2889.0,10211.0,1.0,0,0,1,1,1,1,1,1,18,20,25,27,35,36,38,20,0,0,0,0
9,"Janssen et al. (2010), Science (44)",b6b419efa215ad6f794321a340926cb95066e17c,-44,2010,Science,z,6,63,105,1,0,1,0,0,0,z,2,42,70,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,2,42,70,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,5.86,0.0,0.97,0,0,1,1,1,1,1,1,12,31,25,29,33,29,27,25,19,23,26,15
10,"Karpicke and Blunt (2011), Science (45)",dcba2da2dd6ea598619fb3c7643fdfdbd6ecc059,-45,2011,Science,"F(1,38)",22,40,40,1,0,1,0,0,0,t(48),3,49,49,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t(48),3,49,49,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,14.55,11.82,0.99,0,0,1,1,1,1,1,1,26,31,36,38,45,39,37,49,64,44,30,0
