,Paper,Year,SemanticScholarID,Journal (O),Reproduced,0_YearsLater,1_YearsLater,2_YearsLater,3_YearsLater,4_YearsLater,5_YearsLater,6_YearsLater,7_YearsLater,8_YearsLater,9_YearsLater,10_YearsLater,11_YearsLater
0,Postmenopausal estrogen therapy and cardiovascular disease: ten-year follow-up from the Nurses’ Health Study,1991,bd0c72fbdf6b16127831c0b7cbb2fcf98287b1c7,NEJM,0,6,38,62,73,83,98,112,121,129,121,105,107
1,"the HA-1A Sepsis Study Group. Treatment of gram-negative bacteremia and septic shock with HA-1A human monoclonal antibody against endotoxin: a randomized, double-blind, placebo-controlled tria",1991,3a7cd124fe76417d92c7fa8cc3797f65da2ccba7,NEJM,0,45,120,143,92,94,82,68,66,70,54,63,44
2,Vitamin E consumption and the risk of coronary heart disease in men,1993,80598bb0e18bceec032cbab23dce6d9f5fec998d,NEJM,0,23,97,123,133,141,135,157,179,151,116,96,111
3,Vitamin E consumption and the risk of coronary disease in women,1993,a456a07b310acc624264c515c5f60f79dc6f8dc4,NEJM,0,21,79,117,106,119,113,144,153,126,99,68,83
4,Inhaled nitric oxide for the adult respiratory distress syndrome,1993,4cc00c6f33b7ae4b3848ecdc870690a23a71be94,NEJM,0,47,89,146,129,166,142,130,93,76,68,53,62
5,Effects of estrogen or estrogen/progestin regimens on heart disease risk factors in postmenopausal women,1995,6276eeefe48c242afaf72ded27d16638c3ae4947,JAMA,0,37,102,129,125,151,191,210,191,145,121,97,98
6,Randomised controlled trial of vitamin E in patients with coronary disease: Cambridge Heart Antioxidant Study (CHAOS),1996,bbc960e12a859df31b7ab0a6341999dc23d4a56d,Lancet,0,28,87,102,142,154,131,104,74,82,70,55,44
7,the AIDS Clinical Trials Group of the National Institute of Allergy and Infectious Diseases. Zidovudine in asymptomatic human immunodeficiency virus infection: a controlled trial in persons with fewer than 500 CD4- positive cells per cubic millimeter,1990,8ca4cfa26500a105ca2eff360fc171a103efb05f,NEJM,0,43,106,135,112,102,60,84,40,44,24,24,18
8,; the Primary Angioplasty in Myocardial Infarction Study Group. A comparison of immediate angioplasty with thrombolytic therapy for acute myocardial infarction,1993,4779f64eafe2bf6b195e9f97c637ac844e2a1acf,NEJM,0,24,56,95,97,106,109,126,94,98,121,84,127
9,A randomized comparison of coronary-stent placement and balloon angioplasty in the treatment of coronary artery disease,1994,bcb5f60f7fcc1beddbb0a5dbfbd4ba409e94d3d5,NEJM,0,9,77,193,281,330,297,309,282,260,223,246,214
